Record Name,CÓDIGO DE CATALOGAÇÃO,TÍTULO,INFORMAÇÕES DE FONTE PRIMÁRIA,AUTORIA,DATA LIMITE SUPERIOR,DATA LIMITE INFERIOR,MUNICÍPIO,ESTADO,ID,RESUMO,PRODUÇÃO/PUBLICAÇÃO/EDIÇÃO (Objeto fotográfico),NOTAS,FONTES,NOTAS INTERNAS,AUTORIA ASSOCIADA / COMERCIAL,PAÍS,TÍTULO NO ORIGINAL,PROCESSO FORMADOR DA IMAGEM,DIMENSÃO,HISTÓRICO DE UTILIZAÇÃO DA IMAGEM,CROMIA,DATA,DESIGNAÇÃO GENÉRICA,LOCAL
002093001.jpg,,Vista a partir do morro do Castelo; vendo-se a igreja de São José e a Ilha das Cobras e o porto,,A. Ruelle,,1000,Rio de Janeiro,RJ,404673,,,,,,,Brasil,,ALBUMINA/ Prata,,,MONOCROMÁTICA,1861,FOTOGRAFIA/ Papel,
002093001v.jpg,,Vista a partir do morro do Castelo; vendo-se a igreja de São José e a Ilha das Cobras e o porto; verso,,A. Ruelle,,1000,Rio de Janeiro,RJ,404672,,,,,,,Brasil,,ALBUMINA/ Prata,,,MONOCROMÁTICA,1861,FOTOGRAFIA/ Papel,
002093002.jpg,,Vista interior da bacia de carenagem em construção na Ilha das Cobras,,A. Ruelle,,1000,Rio de Janeiro,RJ,404675,,,,,,,Brasil,,ALBUMINA/ Prata,,,MONOCROMÁTICA,1861,FOTOGRAFIA/ Papel,
002093002v.jpg,,Vista interior da bacia de carenagem em construção na Ilha das Cobras; verso,,A. Ruelle,,1000,Rio de Janeiro,RJ,404677,,,,,,,Brasil,,ALBUMINA/ Prata,,,MONOCROMÁTICA,1861,FOTOGRAFIA/ Papel,
002093003.jpg,,,,A. Ruelle,,1000,Rio de Janeiro,RJ,404679,,,,,,,Brasil,,ALBUMINA/ Prata,,,MONOCROMÁTICA,1861,FOTOGRAFIA/ Papel,
002093003v.jpg,,,,A. Ruelle,,1000,Rio de Janeiro,RJ,404678,,,,,,,Brasil,,ALBUMINA/ Prata,,,MONOCROMÁTICA,1861,FOTOGRAFIA/ Papel,
002093004.jpg,,Rua do Ouvidor,,A. Ruelle,,1000,Rio de Janeiro,RJ,404676,,,,,,,Brasil,,ALBUMINA/ Prata,,,MONOCROMÁTICA,1861,FOTOGRAFIA/ Papel,
002093004v.jpg,,Rua do Ouvidor; verso,,A. Ruelle,,1000,Rio de Janeiro,RJ,404674,,,,,,,Brasil,,ALBUMINA/ Prata,,,MONOCROMÁTICA,1861,FOTOGRAFIA/ Papel,
002093005.jpg,,Rua Direita,,A. Ruelle,,1000,Rio de Janeiro,RJ,404680,,,,,,,Brasil,,ALBUMINA/ Prata,,,MONOCROMÁTICA,1861,FOTOGRAFIA/ Papel,
002093005v.jpg,,Rua Direita; verso,,A. Ruelle,,1000,Rio de Janeiro,RJ,404681,,,,,,,Brasil,,ALBUMINA/ Prata,,,MONOCROMÁTICA,1861,FOTOGRAFIA/ Papel,
001AF001001.jpg,001AF001001,Copacabana,"VERSO: ""Mlle. Alicia Camargo de Dauntre. 122 rua Helvetia S. Paulo. 9-Maio 1921. Chara amiga. Pesso-lhe que me desculpe a demora em lhe mandar noticias nossas. Desejo que a amiga vá bem assim como seu charo sobrinho. Nos vamos bem. Estamos no selecto Hotel Praia do Flamengo. O lugar é bom. Estamos satisfeitos. O hotel é (...) mas não tem um só quarto vago. Os nossos são muito pequenos. Zequinho e Albertina(?) lhe enviam cumprimentos. Saudades desta sua amiga Leonor"" (manuscrito, a tinta); ""União Postal Universal. Bilhete Postal Brazil. Edi. J.S.Affonso. Avenida R.B.90"" (impresso no original). ","Affonso, José dos Santos",,,Rio de Janeiro,RJ,73,,,,,,,Brasil,Copacabana,GELATINA/ Prata,"i: 7,9 x 12,8 cm; sp: 8,7 x 13,7 cm",,P&B,1920 circa,REPRODUÇÃO FOTOMECÂNICA/ Papel,
001AF001001v.jpg,001AF001001v,,,"Affonso, José dos Santos",1921,,,,74,,,,,,,,,GELATINA/ Prata,"i: 7,9 x 12,8 cm; sp: 8,7 x 13,7 cm",,P&B,,REPRODUÇÃO FOTOMECÂNICA/ Papel,
001AF001002.jpg,001AF001002,Avenida Beira Mar,,"Affonso, José dos Santos",,,Rio de Janeiro,RJ,75,"Vista da Avenida Beira Mar em seu trecho final, na Praia de Botafog; ao centro, o Morro da Viúva.",,,"""Rio de Janeiro 1862-1927 Álbum fotográfico de formação da cidade"", p. 163.",,,Brasil,Avenida Beira-Mar,GELATINA/ Prata,"i: 7,9 x 12,8 cm; sp: 8,7 x 13,7 cm",,P&B,1920 circa,REPRODUÇÃO FOTOMECÂNICA/ Papel,
001ALA011 (1).jpg,001ALA011,Álbum Vistas da Cidade do Rio de Janeiro,,"Affonso, José dos Santos",,,Rio de Janeiro,RJ,149696,Álbum com 20 fotografias com vista do Rio de Janeiro noturnas e diurnas.,,,,,,Brasil,,,"Álbum: 22,7 x 32,0 x 2,5 cm",,,1920 circa,,
001ALA011001.jpg,001ALA011001,Palácio Monroe,Frente: Notação impressa no suporte primário: Rio de Janeiro - Palácio Monroe -  Photo Lopes Rio,"Affonso, José dos Santos",1976,1906,Rio de Janeiro,RJ,107,"Palácio Monroe, inaugurado em 1906 no final da Avenida Central (atual Avenida Rio Branco) para sede da Conferência Pan-Americana do Rio de Janeiro. Reprodução, com aproveitamento parcial de material original, do Pavilhão Brasileiro na Exposição Internacional de 1904 em St.Louis (EUA), que recebeu o grande prêmio do júri da exposição. Projeto de uma  comissão chefiada pelo general engenheiro Francisco Marcelino de Souza  Aguiar. Utilizado inicialmente para exposições, em 1914 funcionou temporariamente como Câmara dos Deputados, em 1922 serviu de sede para a Comissão Executiva da Exposição do Centenário da Independência do Brasil e, entre 1925 e 1960, funcionou como Senado Federal. Foi demolido na década de 1970. No primeiro plano, à esquerda, parte do Edifício Lafond, um dos primeiros prédios de apartamentos da cidade, na esquina com a Rua Santa Luzia. À direita do palácio está o Passeio Público. Ao fundo, à esquerda, o Outeiro da Glória e, à direita, os morros de Santa Teresa (à frente) e Nova Cintra (atrás)",,,,,,Brasil,Avenida Rio Branco Palácio Monroe,GELATINA/ Prata,"i: 15,8 x 21,6 cm; sp: 16,1 x 21,9 cm",,P&B,1920 circa,FOTOGRAFIA/ Papel,Centro
001ALA011002.jpg,001ALA011002,Teatro Municipal,Frente: Notação impressa no suporte primário: Rio de Janeiro -  Theatro Municipal- Photo Lopes Rio,"Affonso, José dos Santos",,,Rio de Janeiro,RJ,108,"Teatro Municipal, inaugurado em 14.07.1909, 4 anos e meio após o início da construção em 02.01.1905. Projetado pelo engenheiro Francisco de Oliveira Passos, filho do Prefeito Passos, e colaboradores, foi inspirado no Ópera de Paris. À direita a Avenida Rio Branco (antiga Avenida Central) e, à esquerda, edificações nas faldas do Morro de Santo Antonio.",,,,,,Brasil,Theatro Municipal,GELATINA/ Prata,"i: 15,8 x 22,0 cm; sp: 16,3 x 22,4 cm",,P&B,1920 circa,FOTOGRAFIA/ Papel,Cinelândia
001ALA011003.jpg,001ALA011003,Avenida Rio Branco,Frente: Notação impressa no suporte primário: Rio de Janeiro  - Avenida Rio Branco - Photo Lopes Rio,"Affonso, José dos Santos",,,Rio de Janeiro,RJ,109,"Vista geral da Avenida Rio Branco (antiga Avenida Central, até 1912), em direção à Praça Mauá. À esquerda, na altura da bifurcação com a Rua Miguel Couto (antiga dos Ourives), esquina da Rua do Rosário, está a Igreja de Nossa Senhora da Conceição e Boa Morte. Projetada pelo brigadeiro português José Fernandes Pinto Alpoim, levou longos 100 anos para ser concluída: iniciada em 1735, só foi definitivamente terminada em 1835. À direita, no primeiro plano, na esquina com a Rua do Ouvidor, o magazine Colombo, primeira casa comercial da avenida. No mesmo lado, entre as duas torres, a cúpula da Igreja da Candelária. ",,,"HRR, p. 177 e 178.",,,Brasil,Avenida Rio Branco,GELATINA/ Prata,"i: 21,9 x 15,9 cm; sp: 22,2 x 16,2 cm",,P&B,1920 circa,FOTOGRAFIA/ Papel,Centro
001ALA011004.jpg,001ALA011004,Avenida Niemeyer,Frente: Notação impressa no suporte primário: Rio de Janeiro  - Avenida Niemeyer - Photo Lopes Rio,"Affonso, José dos Santos",,,Rio de Janeiro,RJ,110,"Avenida Niemeyer, ainda com seu traçado original de 1891, quando foi cortada pela Companhia Via Férrea Sapucaí para dar lugar a uma ferrovia (nunca construída), que ligaria o bairro de Botafogo a Angra dos Reis. Via à beira-mar, no sopé do morro, ladeada por coqueiros esparsos e com a Pedra da Gávea ao fundo. ",,,"LIVRO: rjaffcIIMS,33,94-95",,,Brasil,Avenida Niemeyer,GELATINA/ Prata,"i: 15,9 x 21,9 cm; sp: 16,3 x 22,2 cm",,P&B,1920 circa,FOTOGRAFIA/ Papel,
001ALA011005.jpg,001ALA011005,Pão de Açúcar visto da Urca,Frente: Notação impressa no suporte primário: Rio de Janeiro - Pão de Assucar visto da Urca - Photo Lopes Rio,"Affonso, José dos Santos",,,Rio de Janeiro,RJ,111,"Vista do Pão de Açúcar e estações do bondinho do Caminho Aéreo a partir do Morro da Urca. Em destaque à direita, a estação Urca, inaugurada em 25.10.1912, com a conclusão do primeiro trecho do caminho, que ligava os morros da Babilônia e da Urca. Coroando o morro, a estação Pão de Açúcar, inaugurada em 18.01.1913. Ao centro e à esquerda, cadeia de morros de Niterói terminando no Forte de Nossa Senhora da Guia ",,,http://www.bondinho.com.br/caracteristicas.htm,,,Brasil,Pão de Assucar visto da Urca,GELATINA/ Prata,"i: 15,7 x 21,6 cm; sp: 16,0 x 22,0 cm",,P&B,1920 circa,FOTOGRAFIA/ Papel,Praia Vermelha
001ALA011006.jpg,001ALA011006,Vista tirada do Pão de Açúcar,Frente: Notação impressa no suporte primário: Rio de Janeiro  - Vista tirada do Pão de Assucar - Photo Lopes Rio,"Affonso, José dos Santos",,,Rio de Janeiro,RJ,112,"Vista panorâmica da zona sul da cidade, a partir do Pão de Açúcar. À direita, no topo do morro da Urca, a estação do bondinho do Caminho Aéreo; acima o bairro de Botafogo e, mais acima ainda, a Lagoa Rodrigo de Freitas. Ao centro, entre os morros da Urca e da Babilônia, o prédio da Escola Militar seguido de outros edifícios da Praia da Saudade. À esquerda, a praia do Leme seguida da praia e do bairro de Copacabana. No horizonte, o Morro Dois Irmãos e a Pedra da Gávea.",,,,,,Brasil,Vista tirada do Pão de Assucar,GELATINA/ Prata,"i: 16,0 x 21,9 cm; sp: 16,3 x 22,2 cm",,P&B,1920 circa,FOTOGRAFIA/ Papel,
001ALA011007.jpg,001ALA011007,Pão de Açúcar,Frente: Notação impressa no suporte primário: Rio de Janeiro - Pão de Assucar- Photo Lopes Rio,"Affonso, José dos Santos",,,Rio de Janeiro,RJ,113,"Estação do Pão de Açúcar e bondinho do Caminho Aéreo, ponto final do trecho que inicia no Morro da Urca. Este segundo trecho, de iniciativa dos industriais Augusto Ferreira Ramos e Manuel Galvão e projeto do engenheiro Fredolino Cardoso (ST), foi inaugurado em 18.01.1913",,,http://www.bondinho.com.br/caracteristicas.htm,,,Brasil,Pão de Assucar,GELATINA/ Prata,"i: 21,9 x 15,9 cm; sp: 22,2 x 16,2 cm",,P&B,1920 circa,FOTOGRAFIA/ Papel,Praia Vermelha
007A5P3F13-018.jpg,007A5P3F13-018,Vista do Pão de Açúcar,Frente: Notação impressa no suporte primário: Caminho aerio Pão d'assucar Rio de Janeiro.,"Affonso, José dos Santos",,,Rio de Janeiro,RJ,169381,,,,,,,Brasil,Caminho aerio Pão d'assucar Rio de Janeiro,GELATINA/ Prata,"i: 15,8 x 21,7 cm; sp: 16,0 x 22,1 cm",,P&B,1920 circa,FOTOGRAFIA/ Papel,Botafogo
001ALA011009.jpg,001ALA011009,Crepúsculo na Avenida Niemeyer,Frente: Notação impressa no suporte primário: Rio de Janeiro  - Crepusculo - Avda. Niemeyer - Photo Lopes Rio,"Affonso, José dos Santos",,,Rio de Janeiro,RJ,114,"A Avenida Niemeyer foi cortada pela Companhia Via Férrea Sapucaí para dar lugar a uma ferrovia (nunca construída), que ligaria o bairro de Botafogo a Angra dos Reis. Via à beira-mar, no sopé do morro, ladeada por coqueiros esparsos e com a Pedra da Gávea ao fundo. Pode-se ver um homem observando o fotógrafo, apoiado na mureta. Apresenta postes com fiação elétrica.",,,"LIVRO: rjaffcIIMS,33,94-95.",,,Brasil,Crepusculo - Avda. Niemeyer,GELATINA/ Prata,"i: 16,0 x 21,9 cm; sp: 16,3 x 22,2 cm",,P&B,1920 circa,FOTOGRAFIA/ Papel,
