,RESUMO,PROCESSO FORMADOR DA IMAGEM,TÍTULO,AUTORIA,DIMENSÃO,Record Name,DATA LIMITE SUPERIOR,DATA LIMITE INFERIOR,DATA,DESIGNAÇÃO GENÉRICA,LOCAL
0,,ALBUMINA/ Prata,"Praça Duque de Caxias, atual Largo do Machado. Ao fundo Igreja de Nossa Senhora da Glória","Ferrez, Marc","i: 15,0 x 22,2 cm; sp: 16,0 x 22,2 cm",P009MF047.jpg,1885,1875,1880 circa,FOTOGRAFIA/ Papel,Largo do Machado
1,,ALBUMINA/ Prata,Pão de Açúcar visto de Niterói,"Ferrez, Marc","i: 18,6 x 25,0 cm;  ss: 27,3 x 32,2 cm",P009MF005.jpg,1895,1885,1890 circa,FOTOGRAFIA/ Papel,
2,"A capela de Santa Luzia foi uma da primeiras a serem construídas no Rio, datando de 1592. Entre 1752 e 1817 sofreu diversas modificações, mas data somente de 1872 a construção da segunda torre. Leuzinger tirou esta foto do mesmo lugar que o aquarelista alemão E. Hildebrandt a pintou em 1844. Atualmente, a praia de Santa Luzia está aterrada.",ALBUMINA/ Prata,Igreja de Santa Luzia,"Leuzinger, Georges","i: 15,0 x 20,8 cm",P002SAm52-0047.jpg,1870,1860,1865 circa,FOTOGRAFIA/ Papel,Centro
3,,GELATINA/ Prata,,,,IMG_0794.JPG,,1000,,NEGATIVO/ Vidro,
4,Partes do negativo quebrado foram capturadas separadamente com os códigos IMG_0791.jpg e IMG_0794.jpg,GELATINA/ Prata,,,,IMG_0791.JPG,,1000,,NEGATIVO/ Vidro,
5,À direita a Biblioteca Nacional. Quebrado,GELATINA/ Prata,À direita a Biblioteca Nacional,,,IMG_0790.JPG,,1000,,NEGATIVO/ Vidro,Morro do Castelo
6,Partes do negativo quebrado foram capturadas separadamente com os códigos IMG_0789.jpg e IMG_0793.jpg,GELATINA/ Prata,,,,IMG_0789.JPG,,1000,,NEGATIVO/ Vidro,
7,,GELATINA/ Prata,,,,IMG_0787.JPG,,1000,,FOTOGRAFIA/ Papel,
8,,GELATINA/ Prata,,,,IMG_0786.JPG,,1000,,FOTOGRAFIA/ Papel,
9,,GELATINA/ Prata,,,,IMG_0785.JPG,,1000,,FOTOGRAFIA/ Papel,
10,,GELATINA/ Prata,,,,IMG_0784.JPG,,1000,,FOTOGRAFIA/ Papel,Morro do Castelo
11,,GELATINA/ Prata,,,,IMG_0783.JPG,,1000,,FOTOGRAFIA/ Papel,
12,,GELATINA/ Prata,,,,IMG_0782.JPG,,1000,,FOTOGRAFIA/ Papel,
13,,GELATINA/ Prata,,,,IMG_0781.JPG,,1000,,FOTOGRAFIA/ Papel,
14,,GELATINA/ Prata,,,,IMG_0780.JPG,,1000,,FOTOGRAFIA/ Papel,
15,,GELATINA/ Prata,,,,IMG_0779.JPG,,1000,,FOTOGRAFIA/ Papel,
16,,GELATINA/ Prata,,,,IMG_0778.JPG,,1000,,FOTOGRAFIA/ Papel,
17,,GELATINA/ Prata,,,,IMG_0777.JPG,,1000,,FOTOGRAFIA/ Papel,
